client_code,product,push_notification
1,Кредитная карта,"Айгерим, ваши топ-категории — Продукты питания, Кафе и рестораны, Путешествия. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
2,Кредитная карта,"Данияр, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
3,Кредитная карта,"Сабина, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
4,Кредитная карта,"Тимур, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
5,Кредитная карта,"Камилла, с вашими тратами кредитная карта сэкономит 135 тыс ₸ ₸ в месяц. Оформить сейчас."
6,Кредитная карта,"Аян, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
7,Кредитная карта,"Руслан, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
8,Кредитная карта,"Мадина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
9,Кредитная карта,"Арман, с вашими тратами кредитная карта сэкономит 141 тыс ₸ ₸ в месяц. Оформить сейчас."
10,Кредитная карта,"Карина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
11,Кредитная карта,"Бауржан, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
12,Кредитная карта,"Жанар, с вашими тратами кредитная карта сэкономит 132 тыс ₸ ₸ в месяц. Оформить сейчас."
13,Кредитная карта,"Алина, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
14,Кредитная карта,"Диас, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
15,Кредитная карта,"Нурия, с вашими тратами кредитная карта сэкономит 109 тыс ₸ ₸ в месяц. Оформить сейчас."
